ticker,cap,country,industry,financial_currency,currency
EMA.TO,large,Canada,Utilities - Regulated Electric,CAD,CAD
CLH,large,United States,Waste Management,USD,USD
CTLT,large,United States,Drug Manufacturers - Specialty & Generic,USD,USD
PAG,large,United States,Auto & Truck Dealerships,USD,USD
002466.SZ,large,China,Specialty Chemicals,CNY,CNY
ITRK.L,large,United Kingdom,Specialty Business Services,GBP,GBP
323410.KS,large,South Korea,Banks - Regional,KRW,KRW
SPX.L,large,United Kingdom,Specialty Industrial Machinery,GBP,GBP
BJ,large,United States,Discount Stores,USD,USD
VOLCAR-B.ST,large,Sweden,Auto Manufacturers,SEK,SEK
FBIN,large,United States,Building Products & Equipment,USD,USD
MNHVF,large,Norway,Farm Products,EUR,USD
3692.HK,large,China,Drug Manufacturers - Specialty & Generic,CNY,HKD
JSWENERGY.NS,large,India,Utilities - Independent Power Producers,INR,INR
ONON,large,Switzerland,Footwear & Accessories,CHF,USD
OTEX,large,Canada,Software - Application,USD,USD
1326.TW,large,Taiwan,Chemicals,TWD,TWD
PAYC,large,United States,Software - Application,USD,USD
9CI.SI,large,Singapore,Real Estate Services,SGD,SGD
0316.HK,large,Hong Kong,Marine Shipping,USD,HKD
DAY,large,United States,Software - Application,USD,USD
601238.SS,large,China,Auto Manufacturers,CNY,CNY
1997.HK,large,Hong Kong,Real Estate Services,HKD,HKD
ICICIPRULI.NS,large,India,Insurance - Life,INR,INR
9202.T,large,Japan,Airlines,JPY,JPY
2587.T,large,Japan,Beverages - Brewers,JPY,JPY
ORG.AX,large,Australia,Oil & Gas Integrated,AUD,AUD
CPU.AX,large,Australia,Capital Markets,USD,AUD
TXRH,large,United States,Restaurants,USD,USD
CUBE,large,United States,REIT - Industrial,USD,USD
BBWI,large,United States,Specialty Retail,USD,USD
3407.T,large,Japan,Chemicals,JPY,JPY
2016.HK,large,China,Banks - Regional,CNY,HKD
SVW.AX,large,Australia,Conglomerates,AUD,AUD
BIRG.IR,large,Ireland,Banks - Regional,EUR,EUR
4716.T,large,Japan,Software - Application,JPY,JPY
THC,large,United States,Medical Care Facilities,USD,USD
TTEK,large,United States,Engineering & Construction,USD,USD
1COV.F,large,Germany,Specialty Chemicals,EUR,EUR
PEN,large,United States,Medical Devices,USD,USD
600115.SS,large,China,Airlines,CNY,CNY
IMCD.AS,large,Netherlands,Specialty Chemicals,EUR,EUR
ICICIGI.NS,large,India,Insurance - Diversified,INR,INR
BXP,large,United States,REIT - Office,USD,USD
ALV,large,Sweden,Auto Parts,USD,USD
MZTF.TA,large,Israel,Banks - Regional,ILS,ILA
STEAV.HE,large,Finland,Paper & Paper Products,EUR,EUR
SCA-B.ST,large,Sweden,Lumber & Wood Production,SEK,SEK
SKF-B.ST,large,Sweden,Tools & Accessories,SEK,SEK
SVT.L,large,United Kingdom,Utilities - Regulated Water,GBP,GBP
QGEN,large,Netherlands,Diagnostics & Research,USD,USD
RAND.AS,large,Netherlands,Staffing & Employment Services,EUR,EUR
IAG.AX,large,Australia,Insurance - Property & Casualty,AUD,AUD
VOD.JO,large,South Africa,Telecom Services,ZAR,ZAc
UNM,large,United States,Insurance - Life,USD,USD
CNM,large,United States,Industrial Distribution,USD,USD
8795.T,large,Japan,Insurance - Life,JPY,JPY
TTC,large,United States,Tools & Accessories,USD,USD
